Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
3,1633102003320,01/10/2021 15:26:43,1633102005057,-5,01/10/2021 10:26:45,50681,20,questionnaire-9ki4,,16125231,u7wmfjru,4764851,,complete,ucubhr,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1920x1080,1864x888,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,Consent_Q-quantised,1
4,1633102003320,01/10/2021 15:26:43,1633102005057,-5,01/10/2021 10:26:45,50681,20,questionnaire-9ki4,,16125231,u7wmfjru,4764851,,complete,ucubhr,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1920x1080,1864x888,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,END QUESTIONNAIRE,3573
1,1633102824498,01/10/2021 15:40:24,1633102824627,-7,01/10/2021 08:40:24,50681,20,questionnaire-9ki4,,16125794,id8yjg71,4765206,,complete,uhxhhs,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1536x754,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633102847860,01/10/2021 15:40:47,1633102848013,-7,01/10/2021 08:40:48,50681,20,questionnaire-9ki4,,16125794,id8yjg71,4765206,,complete,uhxhhs,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1519x754,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,Consent_Q,Consent
3,1633102848047,01/10/2021 15:40:48,1633102848015,-7,01/10/2021 08:40:48,50681,20,questionnaire-9ki4,,16125794,id8yjg71,4765206,,complete,uhxhhs,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1519x754,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,Consent_Q-quantised,1
4,1633102848047,01/10/2021 15:40:48,1633102848015,-7,01/10/2021 08:40:48,50681,20,questionnaire-9ki4,,16125794,id8yjg71,4765206,,complete,uhxhhs,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1519x754,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,END QUESTIONNAIRE,23389
1,1633104723347,01/10/2021 16:12:03,1633104723483,-4,01/10/2021 12:12:03,50681,20,questionnaire-9ki4,,16126829,x7j9n5j8,4765508,,complete,dpbdes,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1103x562,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633104739963,01/10/2021 16:12:19,1633104740165,-4,01/10/2021 12:12:20,50681,20,questionnaire-9ki4,,16126829,x7j9n5j8,4765508,,complete,dpbdes,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1087x562,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q,Consent
3,1633104740158,01/10/2021 16:12:20,1633104740167,-4,01/10/2021 12:12:20,50681,20,questionnaire-9ki4,,16126829,x7j9n5j8,4765508,,complete,dpbdes,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1087x562,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q-quantised,1
4,1633104740158,01/10/2021 16:12:20,1633104740168,-4,01/10/2021 12:12:20,50681,20,questionnaire-9ki4,,16126829,x7j9n5j8,4765508,,complete,dpbdes,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1087x562,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,END QUESTIONNAIRE,16685
