Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
2,1633098256799,01/10/2021 14:24:16,1633098256678,-7,01/10/2021 07:24:16,50681,20,questionnaire-pcei,,16120851,bulryy1d,4764179,,complete,ztyapl,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,10639
1,1633098247033,01/10/2021 14:24:07,1633098246857,-4,01/10/2021 10:24:06,50681,20,questionnaire-pcei,,16120854,a0ru9cvt,4764181,,complete,aqckta,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1536x754,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098264367,01/10/2021 14:24:24,1633098264279,-4,01/10/2021 10:24:24,50681,20,questionnaire-pcei,,16120854,a0ru9cvt,4764181,,complete,aqckta,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1536x754,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,17422
1,1633098252992,01/10/2021 14:24:12,1633098252622,-4,01/10/2021 10:24:12,50681,20,questionnaire-pcei,,16120864,jlby4gor,4764182,,complete,ipvbcs,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x720,1280x609,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098259565,01/10/2021 14:24:19,1633098259444,-4,01/10/2021 10:24:19,50681,20,questionnaire-pcei,,16120864,jlby4gor,4764182,,complete,ipvbcs,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x720,1280x609,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,END QUESTIONNAIRE,6822
1,1633098295917,01/10/2021 14:24:55,1633098292422,-6,01/10/2021 08:24:52,50681,20,questionnaire-pcei,,16120917,jz2k4xcx,4764195,,complete,vewhcv,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,2133x1077,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098376470,01/10/2021 14:26:16,1633098373030,-6,01/10/2021 08:26:13,50681,20,questionnaire-pcei,,16120917,jz2k4xcx,4764195,,complete,vewhcv,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1745x881,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,END QUESTIONNAIRE,80609
1,1633098295479,01/10/2021 14:24:55,1633098299005,-5,01/10/2021 09:24:59,50681,20,questionnaire-pcei,,16120918,m8a84yt1,4764196,,complete,alwxiw,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.71,1600x900,533x252,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098350860,01/10/2021 14:25:50,1633098354416,-5,01/10/2021 09:25:54,50681,20,questionnaire-pcei,,16120918,m8a84yt1,4764196,,complete,alwxiw,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.71,1600x900,528x252,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,55411
1,1633098315525,01/10/2021 14:25:15,1633098314893,-7,01/10/2021 07:25:14,50681,20,questionnaire-pcei,,16120943,f9gpmhta,4764206,,complete,sajccw,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
